,incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type,University of Illinois Police Department Patrol Boundary Shapes - i5tx-m5f3
1399,854450557,II1800643,05/16/2018 10:13:00 PM,[UIPD] ASSIST OTHER POLICE DEPT,ASSIST OTHER POLICE DEPT <BR/><BR/> UIPD ASSIST OTHER POLICE DEPARTMENT (UPD),,600 Block PARK STREET W,,URBANA,IL,,,40.1095,-88.2273,05/17/2018 01:02:13 PM,05/17/2018 01:02:15 PM,POINT (-88.2273 40.1095),22,Wednesday,Other,206477.0
1411,855478934,II1800654,05/22/2018 10:15:00 AM,[UIPD] ASSIST OTHER POLICE DEPT,ASSIST OTHER POLICE DEPT <BR/><BR/>,,CUNNINGHAM AVE N & OAKLAND AVE,,URBANA,IL,,,40.099000000000004,-88.2207,05/24/2018 09:02:11 PM,05/24/2018 09:02:11 PM,POINT (-88.2207 40.099),10,Tuesday,Other,206477.0
1412,868480772,II1800911,08/21/2018 05:00:00 PM,[UIPD] CRIMINAL DAMAGE GOVT SUPPORT PROP,CRIMINAL DAMAGE GOVT SUPPORT PROP <BR/><BR/>CRIMINAL DAMAGE SUSTAINED TO A PARKED VEHICLE IN UNIVERSITY PARKING LOT C-3. VEHICLE OWNED BY THE UNIVERSITY OF ILLINOIS AND PERMANENTLY ASSIGNED TO THE UNIVERSITY OFFICE FOR PLANNING AND BUDGETING.,,600 Block JOHN ST E,,URBANA,IL,,,40.1083,-88.2292,08/27/2018 01:02:04 PM,08/27/2018 01:02:04 PM,POINT (-88.2292 40.1083),17,Tuesday,Property Crime,206477.0
1704,854531634,II1800645,05/17/2018 11:49:00 AM,[UIPD] WARRANT-IN STATE,WARRANT-IN STATE <BR/><BR/>SUBJECT WAS STOPPED FOR INVESTIGATION OF DISORDERLY SUBJECTS REPORT AT WILLARD AIRPORT. IT WAS DISCOVERED DRIVER OF VEHICLE HAD TWO ACTIVE CIVIL FTA WARRANTS FROM CHAMPAIGN COUNTY. DRIVER WAS ARRESTED AND TRANSPORTED TO CCSO.,,300 Block AIRPORT RD W,,URBANA,IL,,,40.0364,-88.2638,05/18/2018 01:02:18 PM,05/18/2018 01:02:19 PM,POINT (-88.2638 40.0364),11,Thursday,Other,
1705,855478935,II1800658,05/23/2018 07:35:00 AM,[UIPD] TRESPASS-STATE SUPPORTED LAND,TRESPASS-STATE SUPPORTED LAND <BR/><BR/> SUBJECT ARRESTED FOR TRESPASSING.,,GOODWIN AV S & ILLINOIS,,URBANA,IL,,,40.1092,-88.2249,05/24/2018 09:02:11 PM,05/24/2018 09:02:11 PM,POINT (-88.2249 40.1092),7,Wednesday,Other,206477.0
1724,868493116,II1800931,08/26/2018 12:00:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES <BR/><BR/> SUBJECT LOST KEYS.,,200 Block PEABODY DR,,URBANA,IL,,,40.1006,-88.236,08/27/2018 04:02:04 PM,08/27/2018 04:02:04 PM,POINT (-88.236 40.1006),12,Sunday,Other,206477.0
1725,855753529,II1800667,05/27/2018 07:48:00 PM,[UIPD] WARRANT-IN STATE,WARRANT-IN STATE <BR/><BR/>OFFICER RECOGNIZED SUBJECT. SUBJECT HAD A VALID CCSO WARRANT (FOR FAILURE TO APPEAR FOR THE CRIMINAL OFFENSE FOR AGGRAVA TED BATTER/PUBLIC PLACE). SUBJECT WAS ARRESTED AND TRANSPORT ED TO CCSO. UIPD CITIZEN RECEIPT WAS ISSUED AT CCSO.,,SIXTH STREET S & GREEN STREET E,,URBANA,IL,,,40.1103,-88.2304,05/28/2018 01:02:04 PM,05/28/2018 01:02:05 PM,POINT (-88.2304 40.1103),19,Sunday,Other,206477.0
1744,868592354,II1800937,08/27/2018 12:15:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES <BR/><BR/> LOST IL ID,,800 Block WRIGHT ST S,,URBANA,IL,,,40.1083,-88.2292,08/28/2018 05:02:06 PM,08/28/2018 05:03:08 PM,POINT (-88.2292 40.1083),12,Monday,Other,206477.0
4904,855753530,II1800666,05/27/2018 05:45:00 PM,[UIPD] WARRANT-IN STATE,"WARRANT-IN STATE <BR/><BR/>OFFICER RECOGNIZED SUBJECT. SUBJECT HAD FOUR (4) VALID WARRA NTS (FOR FAILURE TO APPEAR FOR CRIMINAL OFFENSE (S) OF THEFT CONTROL INTENT <$500, FAULURE TO GIVE INFORMATION/RENDER AID INJURY AND ASSAULT). SUBECT WAS ARRESTED AND TRANSPORTED TO CCSO. UIPD CITIZEN RECEIPT WAS ISSUED AT CCSO.",,UNIVERSITY AVENUE E & MARKET STREET,,URBANA,IL,,,40.1159,-88.2411,05/28/2018 01:02:04 PM,05/28/2018 01:02:04 PM,POINT (-88.2411 40.1159),17,Sunday,Other,
4908,868474254,II1800914,08/24/2018 03:01:00 AM,[UIPD] UNLAWFUL USE OF WEAPONS,"UNLAWFUL USE OF WEAPONS <BR/><BR/>DURING A TRAFFIC STOP, A LOADED HANDGUN WAS LOCATED ON A MAL E SITTING IN THE REAR PASSENGER SEAT OF VEHICLE. THE MALE RESISTED OFFICERS AND WAS ARRESTED ON SCENE.",,FIFTH ST & UNIVERSITY AVE,,URBANA,IL,,,40.1163,-88.2336,08/27/2018 12:02:04 PM,08/27/2018 12:02:04 PM,POINT (-88.2336 40.1163),3,Friday,Weapons Offense,206477.0
4909,868474253,II1800916,08/24/2018 04:30:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES <BR/><BR/> SUBJECT LOST WALLET AND CONTENTS.,,MATHEWS AV S & GREEN ST W,,URBANA,IL,,,40.1105,-88.2256,08/27/2018 12:02:04 PM,08/27/2018 12:02:05 PM,POINT (-88.2256 40.1105),16,Friday,Other,206477.0
7580,854874147,II1800649,05/19/2018 12:46:00 AM,[UIPD] CRIMINAL DAMAGE TO PROPERTY,CRIMINAL DAMAGE TO PROPERTY <BR/><BR/>OFFICERS TRANSPORTED SUBJECT TO OSF HOSPITAL FOR MEDICAL EVALUATION INVOLVING MENTAL ILLNESS RESULTING IN A NTA FOR CRIMINAL DAMAGE THAT TOOK PLACE WHILE AT THE HOSPITAL.,,GREEN ST & FIFTH ST,,URBANA,IL,,,40.1103,-88.23200000000001,05/22/2018 04:02:06 PM,05/22/2018 04:02:07 PM,POINT (-88.232 40.1103),0,Saturday,Property Crime,206477.0
7581,855478933,II1800656,05/19/2018 06:00:00 PM,[UIPD] BURGLARY RESIDENTIAL,BURGLARY RESIDENTIAL <BR/><BR/> VICTIM'S RESIDENCE INSIDE TRELEASE HALL WAS BURGLARIZED.,,900 Block COLLEGE CT,,URBANA,IL,,,40.099000000000004,-88.2207,05/24/2018 09:02:11 PM,05/24/2018 09:02:11 PM,POINT (-88.2207 40.099),18,Saturday,Breaking & Entering,206477.0
7582,855478932,II1800659,05/23/2018 12:38:00 PM,[UIPD] RECKLESS DRIVING,RECKLESS DRIVING <BR/><BR/>SUBJECT TRIED TO AVOID OFFICER ENDED UP CRASHING INTO BUILDING.,,THIRD S & CHAMLERS,,URBANA,IL,,,40.1041,-88.2376,05/24/2018 09:02:11 PM,05/24/2018 09:02:12 PM,POINT (-88.2376 40.1041),12,Wednesday,Traffic,206477.0
7583,855916993,II1800665,05/26/2018 10:48:00 PM,[UIPD] WARRANT-IN STATE,WARRANT-IN STATE <BR/><BR/>OFFICERS ARRESTED PASENGER OF A VEHICLE DURING A ROAD SIDE S AFETY CHECK. SUBJECT HAD AN OPEN ALCOHOLIC BEVERAGE INSIDE T HE VEHICLE. SUBJECT WAS IDENTIFIED AND HAD AN ACTIVE CHAMPAI GN COUNTY WARRANT FOR DRIVING WHILE LICENSE SUSPENDED. SUBJE CT WAS ARRESTED ON THE WARRANT AND TRANSPORTED TO CHAMPAIGN COUNTY SATELLITE JAIL. REF I18-0664,,NEIL ST N & EDGEBROOK,,URBANA,IL,,,40.1099,-88.2272,05/30/2018 05:02:08 PM,05/30/2018 05:02:09 PM,POINT (-88.2272 40.1099),22,Saturday,Other,206477.0
7584,868736518,II1800952,08/29/2018 01:00:00 PM,[UIPD] DISORDERLY CONDUCT-ALL OTHER,DISORDERLY CONDUCT-ALL OTHER <BR/><BR/>A UIUC PROFESSOR IS REPORTING THAT A STUDENT IS HARASSING HIM.,,MATHEWS AV S & GREEN,,URBANA,IL,,,40.1084,-88.2264,08/30/2018 01:02:10 PM,08/30/2018 01:02:48 PM,POINT (-88.2264 40.1084),13,Wednesday,Disorder,206477.0
7585,868736517,II1800954,08/29/2018 03:39:00 PM,[UIPD] THEFT-RETAIL,THEFT-RETAIL <BR/><BR/>A SUBJECT WAS ISSUED A STATE NTA FOR RETAIL THEFT AT THE ILLINI UNION BOOKSTORE.,,800 Block WRIGHT ST S,,URBANA,IL,,,40.1083,-88.2292,08/30/2018 01:02:10 PM,08/30/2018 01:02:48 PM,POINT (-88.2292 40.1083),15,Wednesday,Theft,206477.0
7586,868736516,II1800955,08/29/2018 04:50:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES <BR/><BR/> LOST WALLET,,1300 Block W GREEN ST,,URBANA,IL,,,40.11,-88.226,08/30/2018 01:02:10 PM,08/30/2018 01:02:50 PM,POINT (-88.226 40.11),16,Wednesday,Other,206477.0
7587,868736519,II1800956,08/29/2018 09:19:00 PM,[UIPD] CONTROLLED SUBSTANCE-POSSESSION,CONTROLLED SUBSTANCE-POSSESSION <BR/><BR/>RESPONDED TO CALL OF CANNABIS ODOR. CONTACT WAS MADE WITH RE SIDENT AND THEY WERE ARRESTED,,1200 Block FOURTH ST S,,URBANA,IL,,,40.1032,-88.234,08/30/2018 01:02:10 PM,08/30/2018 01:02:36 PM,POINT (-88.234 40.1032),21,Wednesday,Drugs,206477.0
7588,879345704,II1801121,09/25/2018 02:40:00 PM,[UIPD] THEFT-RETAIL,"THEFT-RETAIL <BR/><BR/>UIPD OFFICER INVESTIGATED A REPORTED RETAIL THEFT THAT OCCUR RED AT IUB. THIS INCIDENT OCCURRED APPROXIMATELY TWO (2) HOU RS PRIOR TO POLICE BEING NOTIFIED. THE SUSPECT WAS LATER IDE NTIFIED, LOCATED AND THE STOLEN PROPERTY WAS RECOVERED INTACT. I AM RECOMMENDING THIS REPORT BE FORWARDED TO THE U OF I STUDENT DISCIPLINARY BOARD FOR ANY FURTHER NEEDED ACTIO N (S).",,800 Block WRIGHT ST S,,URBANA,IL,,,40.1083,-88.2292,09/28/2018 01:02:12 PM,09/28/2018 01:03:07 PM,POINT (-88.2292 40.1083),14,Tuesday,Theft,206477.0
7589,879345705,II1801127,09/26/2018 02:39:00 PM,[UIPD] THEFT-RETAIL,THEFT-RETAIL <BR/><BR/>SUBJECT WAS CAUGHT STEALING MERCHANDISE FROM ILLINI UNION BOOKSTORE. OFFICER ISSUED STATE NTA.,,800 Block WRIGHT ST S,,URBANA,IL,,,40.1083,-88.2292,09/28/2018 01:02:12 PM,09/28/2018 01:02:44 PM,POINT (-88.2292 40.1083),14,Wednesday,Theft,206477.0
7590,879345709,II1801136,09/27/2018 12:00:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES <BR/><BR/> LOST KEYS,,700 Block S WRIGHT ST,,URBANA,IL,,,40.1093,-88.2292,09/28/2018 01:02:12 PM,09/28/2018 01:02:13 PM,POINT (-88.2292 40.1093),12,Thursday,Other,206477.0
7591,879345711,II1801137,09/27/2018 02:00:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES <BR/><BR/> VICTIM REPORTED ITEMS LOST AFTER RETURNING BACK TO APARTMENT,,800 Block WRIGHT ST S,,URBANA,IL,,,40.1083,-88.2292,09/28/2018 01:02:12 PM,09/28/2018 01:02:12 PM,POINT (-88.2292 40.1083),14,Thursday,Other,206477.0
7592,879485255,II1801141,09/28/2018 02:40:00 AM,[UIPD] BATTERY,"BATTERY <BR/><BR/>OFFICER RESPONDED TO INVESTIGATE A BATTERY THAT OCCURED IN L OT A9, 605 E HEALEY, CHAMPAIGN.",,600 Block HEALEY ST E,,URBANA,IL,,,40.1113,-88.23,09/30/2018 02:02:04 PM,09/30/2018 02:02:44 PM,POINT (-88.23 40.1113),2,Friday,Assault,206477.0
7593,868493112,II1800925,08/25/2018 04:30:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES <BR/><BR/> RP LOST HIS I-CARD WHILE EATING AT THE ILLINI UNION.,,1400 Block GREEN ST W,,URBANA,IL,,,40.1099,-88.2272,08/27/2018 04:02:04 PM,08/27/2018 04:02:31 PM,POINT (-88.2272 40.1099),16,Saturday,Other,206477.0
7594,868493110,II1800928,08/26/2018 12:15:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES <BR/><BR/> SUBJECT LOST BOOKBAG AND CONTENTS.,,1300 Block N LINCOLN AV,,URBANA,IL,,,40.1248,-88.2213,08/27/2018 04:02:04 PM,08/27/2018 04:03:19 PM,POINT (-88.2213 40.1248),12,Sunday,Other,
7595,868592351,II1800935,08/25/2018 10:00:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES <BR/><BR/> REPORT OF LOST IL ID,,1100 Block SPRINGFIELD,,URBANA,IL,,,40.113,-88.2235,08/28/2018 05:02:06 PM,08/28/2018 05:02:29 PM,POINT (-88.2235 40.113),22,Saturday,Other,206477.0
7596,856226600,II1800672,05/30/2018 10:08:00 PM,[UIPD] ASSIST OTHER POLICE DEPT,ASSIST OTHER POLICE DEPT <BR/><BR/>OFFICER ASSISTED URBANA POLICE DEPARTMENT IN REFERENCE TO AN ARMED ROBBERY THAT OCCURRED AT RACE AND MONTCLAIR. OFFICER INTERVIEWED A FEMALE WHO WAS THE VICTIM IN THE INCIDENT.,,MUMFORD ST E & VINE,,URBANA,IL,61801.0,,40.0930672,-88.2048355,06/02/2018 06:02:02 PM,06/02/2018 06:02:05 PM,POINT (-88.2048355 40.0930672),22,Wednesday,Other,
7597,856228540,II1800676,06/01/2018 07:41:00 PM,[UIPD] OBSTRUCTING JUSTICE,OBSTRUCTING JUSTICE <BR/><BR/>UIPD OFFICER ARRESTED SUBJECT FOR OBSTRUCTING JUSTICE AND TR ESPASSING ON RAILROAD PROPERTY. SUBJECT WAS TRANSPORTED TO C CSO. AWOW AND IVC WERE ISSUED TO ARRESTEE. UIPD CITIZEN RECE IPT WAS ISSUED AT CCSO.,,BLK OF GREEN STREET E,,URBANA,IL,,,40.1107,-88.2414,06/02/2018 07:02:02 PM,06/02/2018 07:02:02 PM,POINT (-88.2414 40.1107),19,Friday,Other,206477.0
7598,856405880,II1800680,06/03/2018 01:16:00 AM,[UIPD] BATTERY,"BATTERY <BR/><BR/>A RED LION STAFF MEMBER WAS BATTERED BY AN UNIDENTIFIED COLL EGE AGE WHITE MALE WITH BLONDE HAIR, WEARING A WHITE AND BLU E BASEBALL SHIRT AND BLUE JEANS.",,200 Block GREEN ST E,,URBANA,IL,,,40.1076,-88.2285,06/04/2018 05:02:06 PM,06/04/2018 05:02:07 PM,POINT (-88.2285 40.1076),1,Sunday,Assault,206477.0
7599,856405878,II1800682,06/03/2018 04:54:00 PM,[UIPD] WARRANT-IN STATE,"WARRANT-IN STATE <BR/><BR/>OFFICER RECOGNIZED SUBJECT.SUBJECT HAD A VALID CCSO WARRANT (FOR FAILURE TO APPEAR FOR THE CRIMINAL OFFENSE OF THEFT DECEPTION INTENT 500<10K). SUBJECT WAS ARRESTED, TRANSPORTED TO CCSO.UIPD CITIZEN RECEIPT WAS ISSUED AT CCSO.",,OAK STREET S & STADIUM DRIVE,,URBANA,IL,,,40.1027,-88.2415,06/04/2018 05:02:06 PM,06/04/2018 05:02:07 PM,POINT (-88.2415 40.1027),16,Sunday,Other,206477.0
7600,856486345,II1800679,06/03/2018 01:13:00 AM,[UIPD] BATTERY,BATTERY <BR/><BR/>A FEMALE REFUSED TO LEAVE THE RED LION AFTER BEING TOLD BY B AR STAFF NUMEROUS TIMES TO DEPART. DURING THE INCIDENT THE F EMALE ASSAULTED AND BATTERED THE RED LION BAR MANAGER. ONCE OFFICERS ARRIVED THE FEMALE RESISTED OFFICERES. THE FEMALE WAS ISSUED A NOTICE TO APPEAR AND RELEASED.,,GREEN ST E & THIRD ST,,URBANA,IL,,,40.1099,-88.2356,06/05/2018 05:02:08 PM,06/05/2018 05:02:09 PM,POINT (-88.2356 40.1099),1,Sunday,Assault,206477.0
7601,856486343,II1800689,06/03/2018 08:00:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES <BR/><BR/> LOST WALLET AND CONTENTS,,GREEN ST & SIXTH ST,,URBANA,IL,,,40.1103,-88.2304,06/05/2018 05:02:08 PM,06/05/2018 05:02:09 PM,POINT (-88.2304 40.1103),20,Sunday,Other,206477.0
7602,857265689,II1800711,06/11/2018 11:36:00 PM,[UIPD] TRESPASS-STATE SUPPORTED LAND,TRESPASS-STATE SUPPORTED LAND <BR/><BR/>A PREVIOUSLY TRESPASSED SUBJECT WAS ARRESTED AT THE ILLINI U NION FOR CRIMINAL TRESPASS. THE SUBJECT WAS ALSO ARRESTED ON A VALID CHAMPAIGN COUNTY WARRANT.,,1400 Block GREEN ST W,,URBANA,IL,,,40.1099,-88.2272,06/13/2018 05:02:08 PM,06/13/2018 05:02:55 PM,POINT (-88.2272 40.1099),23,Monday,Other,206477.0
7603,857250636,II1800713,06/12/2018 07:05:00 PM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED <BR/><BR/> OFFICERS REPONDED TO INVESTIGATE A BATTERY,,2000 Block LINCOLN AVE S,,URBANA,IL,,,40.0929,-88.21799999999999,06/13/2018 02:02:46 PM,06/13/2018 02:03:14 PM,POINT (-88.218 40.0929),19,Tuesday,Assault,206477.0
7604,857492201,II1800721,06/10/2018 05:32:00 PM,[UIPD] THEFT-RETAIL,THEFT-RETAIL <BR/><BR/> OFFICERS RESPONDED TO TAKE A RETAIL THEFT REPORT.,,WRIGHT ST S & DANIEL,,URBANA,IL,,,40.1083,-88.2292,06/15/2018 05:02:02 PM,06/15/2018 05:02:02 PM,POINT (-88.2292 40.1083),17,Sunday,Theft,206477.0
7605,857492200,II1800722,06/14/2018 11:56:00 PM,[UIPD] UNLAWFUL USE OF WEAPONS,UNLAWFUL USE OF WEAPONS <BR/><BR/>OFFICER CONDUCTED A TRAFFIC STOP ON A VEHICLE. DRIVER WAS FOUND TO BE IN POSSESSION OF A HANDGUN.,,SECOND ST S & GREEN ST,,URBANA,IL,,,40.1102,-88.23700000000001,06/15/2018 05:02:02 PM,06/15/2018 05:02:03 PM,POINT (-88.237 40.1102),23,Thursday,Weapons Offense,206477.0
7606,857775978,II1800724,06/15/2018 09:30:00 PM,[UIPD] ASSIST OTHER POLICE DEPT,ASSIST OTHER POLICE DEPT <BR/><BR/>OFFICERS ASSISTED CPD RESPOND TO A REPORTED SHOOTING AT BEAR DSLEY PARK.,,BLK OF BEARDSLEY AV E,,URBANA,IL,,,40.1256,-88.2406,06/18/2018 02:02:04 PM,06/18/2018 02:02:04 PM,POINT (-88.2406 40.1256),21,Friday,Other,
7607,858820596,II1800688,06/04/2018 04:20:00 PM,[UIPD] CRIMINAL DEFACEMENT OF PROPERTY,CRIMINAL DEFACEMENT OF PROPERTY <BR/><BR/>A PERSON ON TWO CONSECUTIVVE OCCASIONS WROTE VULGAR LANGUAGE ON BATHROOM TILE. THE SUBJECT WAS IDENTIFIED AND LOCATED. THE SUBJECT WILL BE REFERRED TO YAC.,,900 Block GOODWIN AVE S,,URBANA,IL,,,40.1046,-88.2243,06/19/2018 02:02:06 PM,06/19/2018 02:02:07 PM,POINT (-88.2243 40.1046),16,Monday,Property Crime,206477.0
7625,857775977,II1800725,06/16/2018 12:20:00 AM,[UIPD] WARRANT-IN STATE,WARRANT-IN STATE <BR/><BR/>OFFICERS MADE CONTACT WITH TWO INDIVIDUALS IN THE AREA OF A FOOT PURSUIT. DURING THE CONTACT IT WAS DISCOVERED ONE HAD A VALID MCLEAN COUNTY WARRANT,,DANIEL & LOCUST,,URBANA,IL,,,40.1065,-88.2415,06/18/2018 02:02:04 PM,06/18/2018 02:02:04 PM,POINT (-88.2415 40.1065),0,Saturday,Other,206477.0
7641,879617010,II1801152,09/29/2018 12:00:00 AM,[UIPD] LOST ARTICLES,LOST ARTICLES <BR/><BR/> LOST PASSPORT,,GREEN ST & SIXTH ST,,URBANA,IL,,,40.1103,-88.2304,10/01/2018 04:02:06 PM,10/01/2018 04:02:45 PM,POINT (-88.2304 40.1103),0,Saturday,Other,206477.0
7642,879617013,II1801153,09/30/2018 12:00:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES <BR/><BR/> SUBJECT LOST A SET OF KEYS.,,1100 Block W NEVADA ST,,URBANA,IL,,,40.1057,-88.2233,10/01/2018 04:02:06 PM,10/01/2018 04:02:07 PM,POINT (-88.2233 40.1057),12,Sunday,Other,206477.0
