incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type,University of Illinois Police Department Patrol Boundary Shapes - i5tx-m5f3
100027794,II1200326,02/19/2012 03:10:00 AM,[UIPD] TRESPASS-STATE SUPPORTED LAND,TRESPASS-STATE SUPPORTED LAND      <BR/><BR/>A PASSENGER OF A SUSPICIOUS VEHICLE WAS ARRESTED FOR A VALID CITY WARRANT.,,900 Block SIXTH S,,URBANA,IL,null,null,40.107969,-88.230345,02/20/2012 06:05:02 PM,02/20/2012 06:05:12 PM,POINT (-88.230345 40.107969),3,Sunday,Other,206477
100027795,II1200328,01/17/2012 12:01:00 AM,[UIPD] THEFT UNDER,THEFT UNDER                        <BR/><BR/> FRONT AND REAR LICENSE PLATES STOLEN FROM VEHICLE.,,1200 Block UNIVERSITY AV W,,URBANA,IL,null,null,40.116396,-88.224042,02/20/2012 06:05:02 PM,02/20/2012 06:05:12 PM,POINT (-88.224042 40.116396),0,Tuesday,Theft,206477
100027796,II1200317,02/18/2012 07:20:00 AM,[UIPD] DRUG EQUIPMENT-POSSESSION,"""DRUG EQUIPMENT-POSSESSION          <BR/><BR/>TRANSPORTATION ADMINISTRATION SERVICES AGENT DISCOVERS PARAP HERNALIA IN LUGGAGE. PARAPHERNALIA COLLECTED, REPORT TAKEN.""",,AIRPORT RD & DUNLAP,,URBANA,IL,61874,null,40.039424,-88.253973,02/20/2012 06:05:02 PM,02/20/2012 06:05:13 PM,POINT (-88.253973 40.039424),7,Saturday,Drugs,
100027798,II1200331,02/19/2012 10:57:00 PM,[UIPD] OPERATE UNINSURED MOTOR VEHICLE,"""OPERATE UNINSURED MOTOR VEHICLE    <BR/><BR/>UIPD TOWED A SUBJECTS VEHICLE DUE TO THE UNAVAILABILITY OF A VALID DRIVER AND THE LACK OF A LEGAL PARKING SPACE IN THE A REA OF THE TRAFFIC STOP, 1200 BLOCK OF WEST GREGORY DRIVE, U RBANA.""",,1200 Block GREGORY DRIVE W,,URBANA,IL,null,null,40.104161,-88.228704,02/20/2012 06:05:02 PM,02/20/2012 06:05:13 PM,POINT (-88.228704 40.104161),22,Sunday,Traffic,206477
100027799,II1200322,02/18/2012 11:20:00 PM,[UIPD] ASSIST OTHER POLICE DEPT,ASSIST OTHER POLICE DEPT           <BR/><BR/> SUBJECT THREW OBJECT AT OFFICERS AND WAS ARRESTED.,,200 Block BROADWAY S,,URBANA,IL,61802,null,40.1116263,-88.2073687,02/20/2012 06:05:02 PM,02/20/2012 06:05:13 PM,POINT (-88.207369 40.111626),23,Saturday,Other,
100027800,II1200323,02/18/2012 11:18:00 PM,[UIPD] MIP,MIP                                <BR/><BR/>NTA ISSUED FOR MIP FI COMPLETED ON FRIEND,,700 Block SIXTH ST S,,URBANA,IL,61820,null,40.110276,-88.2303721,02/20/2012 06:05:02 PM,02/20/2012 06:05:13 PM,POINT (-88.230372 40.110276),23,Saturday,Other,206477
100235336,II1200354,02/22/2012 06:03:00 PM,[UIPD] TRESPASS-STATE SUPPORTED LAND,TRESPASS-STATE SUPPORTED LAND      <BR/><BR/>OFFICER RECOGNIZED SUBJECT. SUBJECT HAD A VALID U OF I TREPA SS NOTICE. SUBJECT WAS ARRESTED AND TRANSPORTED TO CCSO.,,ORCHARD STREET S & W. FLORIDA AVE/W. GE,,URBANA,IL,null,null,40.09488,-88.213227,02/23/2012 06:30:02 PM,02/26/2012 01:55:02 PM,POINT (-88.213227 40.09488),18,Wednesday,Other,206477
100888402,II1200369,12/16/2011 08:00:00 AM,[UIPD] OTHER TROUBLE/INFO RPT,OTHER TROUBLE/INFO RPT             <BR/><BR/>DIFFICULTY IN THE DELIVERY SYSTEM AND LAPTOP IS NOW MISSING BUT NOT BELIEVED TO BE STOLEN.,,BLK OF GERTY,,URBANA,IL,null,null,40.087036,-88.241512,02/27/2012 04:20:51 PM,02/27/2012 04:20:53 PM,POINT (-88.241512 40.087036),8,Friday,Other,206477
100888405,II1200365,02/24/2012 11:40:00 PM,[UIPD] MIP,MIP                                <BR/><BR/>OFFICER USED FORCE TO SUBDUE A FLEEING SUBJECT. SUBJECT EVEN TUALLY ISSUED A CITY OF CHAMPAIGN NTA FOR UNDERAGE DRINKING AND RESISTING/OBSTRUCTING A POLICE OFFICER.,,DANIEL E & FIFTH / SIXTH,,URBANA,IL,null,null,40.107956,-88.232009,02/27/2012 04:20:51 PM,02/27/2012 04:20:54 PM,POINT (-88.232009 40.107956),23,Friday,Other,206477
100889531,II1200359,02/21/2012 08:30:00 AM,[UIPD] LOST ARTICLES,LOST ARTICLES                      <BR/><BR/> LOST KEYS,,FIRST & KIRBY,,URBANA,IL,null,null,40.112777,-88.222462,02/27/2012 04:43:32 PM,02/27/2012 04:43:33 PM,POINT (-88.222462 40.112777),8,Tuesday,Other,206477
100889532,II1200341,02/20/2012 10:15:00 PM,[UIPD] CRIMINAL DAMAGE TO PROPERTY,CRIMINAL DAMAGE TO PROPERTY        <BR/><BR/> STORE FRONT WINDOW DAMAGED.,,GREGORY ST S & OREGON,,URBANA,IL,null,null,40.109048,-88.22158,02/27/2012 04:43:32 PM,02/27/2012 04:43:33 PM,POINT (-88.22158 40.109048),22,Monday,Property Crime,206477
100893102,II1200337,02/18/2012 02:30:00 AM,[UIPD] LOST ARTICLES,LOST ARTICLES                      <BR/><BR/> LOST IPHONE,,BLK OF CHESTER ST,,URBANA,IL,null,null,40.115812,-88.239585,02/27/2012 06:50:01 PM,02/27/2012 06:50:02 PM,POINT (-88.239585 40.115812),2,Saturday,Other,206477
100893170,II1200302,02/16/2012 12:37:00 PM,[UIPD] TRESPASS NOTICE,TRESPASS NOTICE                    <BR/><BR/>UIPD DETECTIVE OBSERVED SUBJECT ASKING SERVERAL STUDENTS FOR MONEY AT THE CORNER OF SIXTH/CHALMERS. SUBJECT HAD A VALID CHAMPAIGN CITY WARRANT. SUBJECT ISSUED A TRESPASS LETTER FOR ALL UNIVERSITY PROPERTY AND TRANSPORTED TO CCSO.,,CHALMERS E & SIXTH,,URBANA,IL,null,null,40.106837,-88.23032,02/27/2012 07:00:02 PM,02/27/2012 07:00:03 PM,POINT (-88.23032 40.106837),12,Thursday,Other,206477
100893171,II1200303,02/15/2012 05:00:00 PM,[UIPD] THEFT UNDER,THEFT UNDER                        <BR/><BR/> THEFT OF A USB DRIVE.,,SPRINGFIELD W & MATHEWS,,URBANA,IL,null,null,40.112747,-88.225624,02/27/2012 07:00:02 PM,02/27/2012 07:00:03 PM,POINT (-88.225624 40.112747),17,Wednesday,Theft,206477
100893174,II1200307,02/16/2012 10:10:00 PM,[UIPD] ILLEGAL TRANSPORTATION OF LIQUOR,ILLEGAL TRANSPORTATION OF LIQUOR   <BR/><BR/>VEHICLE STOPPED FOR FAILURE TO SIGNAL. OCCUPANTS RECEIVED MU LTIPLE IVC CITATIONS AND VEHICLE WAS TOWED.,,GREEN & GREGORY STREET,,URBANA,IL,null,null,40.110548,-88.220541,02/27/2012 07:00:02 PM,02/27/2012 07:00:04 PM,POINT (-88.220541 40.110548),22,Thursday,Traffic,206477
100893175,II1200299,02/15/2012 08:00:00 AM,[UIPD] THEFT UNDER,THEFT UNDER                        <BR/><BR/>COPPER PIPING STOLEN FROM AIR CONDITIONING UNIT CAUSING DAMA GE.,,BLK OF GREGORY E,,URBANA,IL,null,null,40.104046,-88.241495,02/27/2012 07:00:02 PM,02/27/2012 07:00:04 PM,POINT (-88.241495 40.104046),8,Wednesday,Theft,206477
101379432,II1200402,02/29/2012 08:06:00 PM,[UIPD] UI WARNING OTHER,UI WARNING OTHER                   <BR/><BR/>OFFICER STOPPED VEHICLE FOR A TRAFFIC VIOLATIO. THE DRIVER W AS TRANSPORTED TO PROVENA FOR AN INVOLUNTARY ADMISSION. WARNING--WRONG WAY/ONE WAY AND NO INSURANCE,,SIXTH ST. S & JOHN ST.,,URBANA,IL,null,null,40.109079,-88.230367,03/01/2012 08:15:02 PM,03/01/2012 08:15:02 PM,POINT (-88.230367 40.109079),20,Wednesday,Traffic,206477
101607250,II1200446,03/03/2012 09:12:00 AM,[UIPD] SUSPEND REVOKED DRIVERS LICENSE,SUSPEND REVOKED DRIVERS LICENSE    <BR/><BR/>SUBJECT ISSUED A WARNING FOR IMPROPER PARKING ON THE ROADWAY AND ARRESTED FOR DRIVING WHILE LICENSE SUSPENDED.,,GREGORY DR & FOURTH ST,,URBANA,IL,null,null,40.104127,-88.23343,03/04/2012 01:50:02 PM,03/04/2012 01:50:03 PM,POINT (-88.23343 40.104127),9,Saturday,Traffic,206477
101607252,II1200450,03/03/2012 10:05:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA--POSSESSION OF ALCOHOL ON PUBLIC PROPERTY,,FIRST & JOHN,,URBANA,IL,null,null,40.109007,-88.238682,03/04/2012 01:50:02 PM,03/04/2012 01:50:03 PM,POINT (-88.238682 40.109007),22,Saturday,Liquor,206477
102122867,II1200462,03/06/2012 12:27:00 AM,[UIPD] NO DRIVERS LICENSE,NO DRIVERS LICENSE                 <BR/><BR/>SUBJECT ARRESTED ON A CHAMPAIGN COUNTY WARRANT FOR FAILURE T O APPEAR. FOUR IVC'S WERE ISSUED AND VEHICLE WAS TOWED.,,SIXTH & JOHN,,URBANA,IL,null,null,40.109079,-88.230367,03/07/2012 09:00:02 PM,03/07/2012 09:00:35 PM,POINT (-88.230367 40.109079),0,Tuesday,Traffic,206477
102155207,II1200390,02/27/2012 10:43:00 PM,[UIPD] CANNABIS-POSS 30 GM & UNDER,CANNABIS-POSS 30 GM & UNDER        <BR/><BR/>TRAFFIC STOP MADE AND THE DRIVER AND OWNER OF VEHICLE WERE S UBSEQUENTLY ARRESTED.,,GREEN W & GREGORY,,URBANA,IL,null,null,40.110507,-88.223914,03/08/2012 05:55:02 AM,03/08/2012 05:55:02 AM,POINT (-88.223914 40.110507),22,Monday,Drugs,206477
102155210,II1200384,02/26/2012 09:14:00 PM,[UIPD] CANNABIS-POSS 30 GM & UNDER,CANNABIS-POSS 30 GM & UNDER        <BR/><BR/>OFFICER INITIATED TRAFFIC STOP FOR FAILING TO SIGNAL WITHIN ONE-HUNDRED FEET OF TURNING AND NO REAR REGISTRATION LIGHT. OFFICERS ALSO OBSERVED THE ODOR OF CANNABIS COMING FROM THE VEHICLE. ONE SUBJECT WAS ARRESTED FOR POSSESSION OF A CONTRO LLED SUBSTANCE AND A SECOND SUBJECT WAS ARRESTED FOR POSSESS ION OF CANNABIS AND OBSTRUCTING JUSTICE/DESTROYING EVIDENCE. THE VEHICLE AND U.S. CURRENCY WERE SEIZED.,,GOODWIN & ILLINOIS,,URBANA,IL,null,null,40.109203,-88.208861,03/08/2012 05:55:02 AM,03/08/2012 05:55:03 AM,POINT (-88.208861 40.109203),21,Sunday,Drugs,206477
102155211,II1200385,02/27/2012 06:01:00 AM,[UIPD] SUSPEND REVOKED DRIVERS LICENSE,SUSPEND REVOKED DRIVERS LICENSE    <BR/><BR/>OFFICER MADE A TRAFFIC STOP FOR FAILURE TO DIM HEADLIGHTS. DRIVER WAS ARRESTED FOR DRIVING WHILE LICENSE REVOKED.,,FLORIDA AVE W & MARYLAND AVE,,URBANA,IL,null,null,40.09815,-88.222805,03/08/2012 05:55:02 AM,03/08/2012 05:55:03 AM,POINT (-88.222805 40.09815),6,Monday,Traffic,206477
102155214,II1200389,02/27/2012 07:03:00 PM,[UIPD] ASSIST OTHER POLICE DEPT,ASSIST OTHER POLICE DEPT           <BR/><BR/>UIPD BACKED SHERIFF'S DEPUTY ON A TRAFFIC STOP TO ASSIST WIT H SPANISH.,,UNIVERSITY & HICKORY,,URBANA,IL,null,null,40.1164,-88.1972567,03/08/2012 05:55:02 AM,03/08/2012 05:55:03 AM,POINT (-88.197257 40.1164),19,Monday,Other,
102157682,II1200391,02/27/2012 11:45:00 PM,[UIPD] MIP,MIP                                <BR/><BR/>NTA--MIP NTA--POSSESSION OF ALCOHOL ON PUBLIC PROPERTY.,,THIRD & DANIEL,,URBANA,IL,null,null,40.107938,-88.235364,03/08/2012 06:10:02 AM,03/08/2012 06:13:27 AM,POINT (-88.235364 40.107938),23,Monday,Other,206477
