date_and_time,type,description,street_address,city,state,zip,latitude,longitude
03/27/2012 08:15:00 PM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>SUBJECTS INVOLVED IN A FIGHT ON UNIVERSITY OWNED BASKETBALL COURTS.,OAK S & GREGORY DR,URBANA,IL,,40.101447,-88.23660100000001
03/30/2012 08:40:00 PM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>SUBJECT WAS SLAPPED BY ANOTHER SUBJECT WHILE PLAYING BASKETB ALL.,PEABODY E & FIRST,URBANA,IL,,40.101447,-88.23660100000001
04/18/2012 10:10:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA ISSUED FOR POSSESSION ON PUBLIC PROPERTY,CHALMERS ST & FIRST ST,URBANA,IL,,40.106522999999996,-88.23961899999999
04/27/2012 11:41:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA ISSUED FOR POSSESSION ON PUBLIC PROPERTY,DANIEL ST E & LOCUST ST,URBANA,IL,,40.107894,-88.240312
04/29/2012 01:55:00 AM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>OFFICERS RESPONDED TO A REPORT OF A DOMESTIC OCCURRING ON TH E STREET. ONE SUBJECT WAS ARRESTED FOR AGRAVATED BATTERY.,GREGORY E & FIRST,URBANA,IL,,40.104094,-88.238636
06/15/2012 12:40:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA--POSSESSION ALCOHOL ON PUBLIC PROPERTY,HEALEY & SIXTH,URBANA,IL,,40.1115,-88.230412
06/22/2012 08:51:00 PM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>SUBJECT WAS INVOLVED IN A FIGHT AT THE UIUC BASKETBALL COURTS.,GREGORY DR E & OAK,URBANA,IL,,40.104094,-88.238636
07/17/2012 09:49:00 AM,[UIPD] MENTAL CASE-TRANSPORTATION,MENTAL CASE-TRANSPORTATION         <BR/><BR/>OFFICERS WERE CALLED TO CHECK THE WELFARE OF A PERSON ASKING FOR WATER. THE SUBJECT WAS LATER TRANSPORTED TO CARLE HOSPIT AL ON BEHALF OF ARROW AMBULANCE FOR INVOLUNTARY ADMINSSION D UE TO MENTAL ILLNESS AND PERSONAL SAFETY.,OAK ST S & KIRBY AV,URBANA,IL,,40.098052,-88.241447
09/21/2012 10:00:00 PM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>A MALE BATTERED A FEMALE. THIS INCIDENT WAS REPORTED TO POLICE THE NEXT DAY.,WRIGHT ST S & DANIEL,URBANA,IL,,40.107912,-88.228852
09/29/2012 04:20:00 PM,[UIPD] BATTERY,BATTERY                            <BR/><BR/> A MALE REPORTED BEING BATTERED BY AN UNKNOWN OFFENDER.,GREEN ST E & FIRST ST,URBANA,IL,,40.110217,-88.23869499999999
10/21/2012 03:18:00 PM,[UIPD] BATTERY,BATTERY                            <BR/><BR/> A FIGHT OCCURRED DURING A BASKETBALL GAME.,STADIUM DR & OAK ST,URBANA,IL,,40.102702,-88.241493
10/24/2012 12:13:00 AM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>VICTIM WAS BITTEN ON THE RIGHT BICEP BY INTOXICATED SUSPECT DURING MEDICAL TRANSPORT TO HOSPITAL VIA PRO AMBULANCE.,WRIGHT ST S & GREEN ST,URBANA,IL,,40.107981,-88.228853
12/17/2012 11:39:00 PM,[UIPD] UNLAWFUL USE OF WEAPONS,UNLAWFUL USE OF WEAPONS            <BR/><BR/>SUBJECT WAS ARRESTED ON A VALID OKLAHOMA WARRANT AND ALSO FO R UNLAWFUL USE OF WEAPONS,STOUGHTON ST E & SIXTH ST,URBANA,IL,,40.113485,-88.23043299999999
01/19/2013 02:00:00 AM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>SUBJECT REPORTS BEING BEATEN BY NUMEROUS SUBJECTS AS HE WAS WALKING HOME.,FOURTH ST S & GREGORY DR,URBANA,IL,,40.104127000000005,-88.23343
03/01/2013 04:00:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA ISSUED FOR POSSESSION ON PUBLIC PROPERTY,FIRST ST & GREEN ST,URBANA,IL,61820.0,40.110217,-88.2386949
02/07/2013 01:26:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>OFFICERS WERE FLAGGED DOWN BY MURPHY'S PUB STAFF REGARDING A BATTERY THAT JUST OCCURRED. VICTIM WAS TRANSPORTED TO CARLE HOSPITAL AND OFFENDER WAS ARRESTED FOR AGGRAVATED BATTERY AND TRANSPORTED TO THE CHAMPAIGN COUNTY JAIL.,GREEN ST E & SIXTH,URBANA,IL,,40.110296000000005,-88.229958
02/10/2013 02:15:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>OFFICER WITNESSED SUSPECT WAS BATTERING THE VICTIM. WHEN POL ICE APPROACHD THE SUSPECT RAN.,SIXTH ST S & SPRINGFIELD AV,URBANA,IL,,40.1127,-88.23043100000001
02/13/2013 07:23:00 PM,[UIPD] MENTAL CASE-TRANSPORTATION,MENTAL CASE-TRANSPORTATION         <BR/><BR/>A SUBJECT WAS TRANSPORTED TO PROVENA MEDICAL CENTER FOR A ME NTAL EVALUATION.,BLK OF AIRPORT RD,URBANA,IL,61802.0,40.142014399999994,-88.1875752
02/17/2013 01:47:00 AM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>OFFICER USED A KNEE STRIKE TO THE OBLIQUE AND A BATON STRIKE TO THE COMMON PERONEAL NERVE TO SEPERATE TWO SUBJECTS THAT W ERE ACTIVELY FIGHTING.,GREEN ST E & THIRD,URBANA,IL,,40.110245,-88.235385
03/01/2013 09:53:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA ISSUED FOR POSSESSION PROHIBITED ON PUBLIC PROPERTY.,E CHALMERS ST & LOCUST ST,URBANA,IL,,40.10652,-88.24029399999999
03/01/2013 10:46:00 PM,[UIPD] CARRYING OUT OF PREMISE,CARRYING OUT OF PREMISE            <BR/><BR/> NTA ISSUED FOR CARRYING LIQUOR OUT OF PREMISES,S THIRD ST & DANIEL ST,URBANA,IL,,40.107938,-88.235364
03/01/2013 11:21:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA ISSUED FOR POSSESSION ON PUBLIC PROPERTY,S THIRD ST & DANIEL ST,URBANA,IL,,40.107938,-88.235364
03/01/2013 11:35:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA ISSUED FOR POSSESSION ON PUBLIC PROPERTY,S OAK ST & CHALMERS ST,URBANA,IL,,40.10651,-88.241538
03/01/2013 12:04:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA ISSUED FOR POSSESSION ON PUBLIC PROPERTY,S OAK ST & JOHN ST,URBANA,IL,,40.124579,-88.26689
03/01/2013 01:48:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTAS ISSUED FOR POSSESSION ON PUBLIC PROPERTY,S THIRD ST & JOHN ST,URBANA,IL,,40.109035,-88.235373
03/26/2013 02:20:00 PM,[UIPD] MENTAL CASE-TRANSPORTATION,MENTAL CASE-TRANSPORTATION         <BR/><BR/>OFFICERS CHECKED WELFARE ON SUBJECT RESULTING IN AN INVOLUNT ARY COMMITTAL.,STOUGHTON ST W & GOODWIN ST,URBANA,IL,,40.113535,-88.223988
04/29/2013 09:22:00 PM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>OFFICER WAS CONTACTED IN REGARDS TO AN INCIDENT THAT OCCURED AT THE BASKETBALL COURTS LOCATED AT OAK & STADIUM.,PEABODY DR E & FIRST ST,URBANA,IL,,40.101447,-88.23660100000001
06/04/2013 09:11:00 PM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>SUBJ WAS BATTERED AT THE INTERSECTION OF ILLINOIS STREET AND LINCOLN AVENUE. ANOTHER SUBJ WAS VICTIM OF AN AGG ASSAULT NEAR GREEN STREET AND BUSEY AVENUE POSSIBLY INVOLVING THE SA ME SUSPECT.WATER BOTTLES WERE THROWN AT SUBJECTS.,ILLINOIS W & LINCOLN AVE,URBANA,IL,,40.133213,-88.24503100000001
06/06/2013 12:12:00 PM,[UIPD] UNLAWFUL USE OF WEAPONS,UNLAWFUL USE OF WEAPONS            <BR/><BR/>LEADS CHECK REVEALED REGISTERED OWNER'S DL STATUS SUSPENDED; CONDUCTED A TERRY STOP ON THE SUSPECT VEHICLE AND ARRESTED S AME FOR DWLS; DISCOVERED CONTROLLED SUBSTANCE (ADDERALL) AND LOADED HANDGUN (9MM) DURING INVENTORY OF SUSPECT VEHICLE PR IOR TO IMPOUND.,FIRST ST S & PEABODY DR,URBANA,IL,,40.101436,-88.238607
06/23/2013 03:15:00 AM,[UIPD] UNLAWFUL USE OF WEAPONS,UNLAWFUL USE OF WEAPONS            <BR/><BR/>OFFICER HEARD SHOTS FIRED IN THE IHOP PARKING LOT AND OBSERVED A VEHICLE FLEE THE AREA. OFFICER INITIATED A STOP ON THE VEHICLE AND THE VEHICLE FLED FROM POLICE. THE VEHICLE STOPPED BEHIND A RESIDENCE AND THE OCCUPANTS WERE APPREHENDED. A FIREARM WAS LOCATED IN THE AREA AND TWO     S SUBJECTS WERE SUBSEQUENTLY ARRESTED.,GREEN ST E & FOURTH,URBANA,IL,,40.110246000000004,-88.235235
06/22/2013 01:28:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>SUBJECTS WERE OBSERVED KICKING AND PUNCHING A MALE ON THE GR OUND. FIVE SUBJECTS FLED FROM OFFICERS. ONE WAS ISSUED A CHA MPAIGN CITY NTA.,FIRST ST S & GREEN ST,URBANA,IL,,40.110217,-88.23869499999999
06/28/2013 09:17:00 PM,[UIPD] UNLAWFUL USE OF WEAPONS,UNLAWFUL USE OF WEAPONS            <BR/><BR/>OFFICER OBSERVED A VEHICLE TRAVELING EAST BOUND ON UNIVERSIT Y AND CHESTNUT (LOUD MUFFLER). OFFICER INITIATED A TRAFFIC S TOP AND THE DRIVER WAS SUBSEQUENTLY ARRESTED FOR POSSESSION OF CANNABIS < 2.5 AND AGGRAVATED UNLAWFUL USE OF A FIREARM.,UNIVERSITY AV W & HARVEY ST,URBANA,IL,,40.116407,-88.222379
07/14/2013 12:34:00 AM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>OFFICER OBSERVED SUBJECT FIGHTING WITH EMPLOYEES. SUBJECT WA S ARRESTED FOR BATTERY.,GREEN ST E & THIRD,URBANA,IL,,40.1102,-88.2369
07/13/2013 02:37:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>TWO SUBJECTS WERE SEEN BATTERING A VICTIM. SUBJECTS WERE ARRESTED FOR AGGRAVATED BATTERY AND MOB ACTION. THEY WERE EACH ISSUED A NOTICE OF TRESPASS LETTER.,FOURTH ST S & DANIEL ST,URBANA,IL,,40.1079,-88.2335
07/20/2013 12:41:00 AM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>OFFICER RESPONDED TO 507 W. UNIVERSITY AVE (SUPER PANTRY) IN REFERENCE TO A FIGHT BETWEEN A TAXI DRIVER AND A PASSENGER.,UNIVERSITY AV W & ORCHARD ST,URBANA,IL,,40.1165,-88.213
08/03/2013 12:00:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>RED LION SECURITY ATTEMPTED TO REMOVE A SUBJECT AFTER SUBJEC T WAS SEEN FIGHTING IN BAR. SUBJECT RESISTED AND PUNCHED ONE OF HTE SECURITY STAFF. SECURITY STAFF PEPPER SPRAYED THE SU BJECT. SUBJECT WAS ARRESTED.,GREEN ST E & THIRD,URBANA,IL,,40.1102,-88.2369
09/02/2013 12:45:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>OFFICERS RESPONDED TO A FIGHT IN PROGRESS. ONE SUBJECT WAS A RRESTED FOR RESISTING AND AGGRAVATED BATTERY OF A POLICE OFF ICER.,THIRD S & SPRINGFIELD,URBANA,IL,61820.0,40.1126549,-88.2354
09/21/2013 02:35:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>SUSPECT APPREHENDED FOR ATTEMPTING TO STEAL A BICYCLE. OFFIC ER INJURED DURING ARREST.,DANIEL ST E & WRIGHT,URBANA,IL,61820.0,40.1079809,-88.228853
10/05/2013 07:00:00 PM,[UIPD] BATTERY,BATTERY                            <BR/><BR/> MALE SUBJECT BATTERED FEMALE VICTIM.,SIXTH ST S & ARMORY,URBANA,IL,61820.0,40.105419399999995,-88.2302935
10/16/2013 01:57:00 AM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>OFFICER WITNESSED SUSPECT COMMIT A BATATERY IN A PUBLIC PLAC E.,SIXTH ST S & GREEN,URBANA,IL,61820.0,40.110288,-88.230391
01/17/2014 11:30:00 AM,[UIPD] MENTAL CASE-TRANSPORTATION,MENTAL CASE-TRANSPORTATION         <BR/><BR/>A SUBJECT APPARENTLY SUFFERING FROM A MENTAL ILLNESS WAS TRA SPORTED TO PCMC FOR EVALUATION,MARYLAND AVE S & PENNSYLVANIA AVE,URBANA,IL,61801.0,40.1006,-88.22284590000001
01/26/2014 02:43:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>OFFICER WAS FLAGGED DOWN BY AN INTOXICATED SUBJECT. SUBJECT EVENTUALLY BATTERED OFFICER AND WAS ARRESTED FOR AGGRAVATED BATTERY.,SPRINGFIELD E & FOURTH ST,URBANA,IL,61820.0,40.112676,-88.233592
02/24/2014 01:05:00 PM,[UIPD] MENTAL CASE-TRANSPORTATION,MENTAL CASE-TRANSPORTATION         <BR/><BR/>UIPD WAS DISPATCHED TO BOUSFIELD HALL ON A WELFARE CALL,FIRST ST S & PEABODY DR,URBANA,IL,61820.0,40.1014439,-88.23860440000001
03/07/2014 10:04:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/>NTA ISSUED FOR CARRYING OPEN ALCOHOL NTA ISSUED FOR POSSESSION PROHIBITED ON PUBLIC PROPERTY,BLK OF JOHN ST E,URBANA,IL,61820.0,40.109035,-88.235373
03/07/2014 11:20:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/>SUBJ ISSUED CITY NTA FOR POSSESSION PROHIBITED ON PUBLIC PRO PERTY,SECOND & DANIEL,URBANA,IL,61820.0,40.107923,-88.23702
03/07/2014 01:56:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/>SUBJ ISSUED CITY NTA FOR POSSESSION PROHIBITED ON PUBLIC PRO PERTY,FOURTH & GREEN,URBANA,IL,61820.0,40.1102662,-88.2335352
03/07/2014 07:55:00 PM,[UIPD] CARRYING OUT OF PREMISE,CARRYING OUT OF PREMISE            <BR/><BR/> NTA ISSUED FOR CARRYING OPEN LIQUOR OUT OF PREMESIS.,S THIRD ST & CHALMERS ST,URBANA,IL,61820.0,40.106559000000004,-88.23535290000001
03/07/2014 09:59:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/>NTA ISSUED FOR POSSESSION PROHIBITED ON PUBLIC PROPERTY AND BUSINESS PARKING LOTS,S FIRST ST & GREEN ST E,URBANA,IL,61820.0,40.110217,-88.2386949
05/17/2014 02:36:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>INDIVIDUAL WAS APPROACHED AND BATTERED BY TWO UNKNOWN SUBJEC T.,OAK ST S & ARMORY,URBANA,IL,61820.0,40.105364,-88.241525
07/05/2014 02:27:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/> VICTIM WAS BATTERED AND THE SUSPECT WAS ARRESTED.,FIRST ST S & ARMORY,URBANA,IL,61820.0,40.105387,-88.23865190000001
08/23/2014 02:19:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>OFFICER ATTEMPTED TO STOP AN INDIVIDUAL WHO WAS INVOLVED IN A FIGHT. INDIVIDUAL FLED ON FOOT AND WAS CAUGHT A BLOCK LATER. INDIVIDUAL WAS ISSUED A STATE NTA FOR RESISTING OBSTRUCTING A PEACE OFFICER.,JOHN E & THIRD,URBANA,IL,,40.109,-88.2354
09/05/2014 02:26:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/>NTA: POSSESSION PROHIBITED ON PUBLIC PROPERTY,FIRST & CHALMERS,URBANA,IL,,40.1065,-88.2387
09/06/2014 09:20:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>TWO PEOPLE GOT INTO AN ARGUMENT OVER TRAFFIC DISPUTE. FIGHT OCCURRED WITH MINOR INJURIES TO BOTH PARTIES.,OREGON ST W & LINCOLN AVE,URBANA,IL,,40.1072,-88.2197
02/13/2011 12:07:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>RESPONDED TO THE AREA FOR A FIGHT. LOCATED THE VICTIM. WAS A BLE TO LOCATE THREE OF THE SUSPECTS WHO WERE ARRESTED. VEHICLE WAS TOWED.,DANIEL E & SIXTH,URBANA,IL,,40.107969,-88.230345
02/18/2011 12:18:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA--POSSESSION OF ALCOHOL ON PUBLIC PROPERTY,FIRST & GREEN,URBANA,IL,,40.110217,-88.23869499999999
03/05/2011 11:57:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA--ALCOHOL ON PUBLIC PROPERTY,FOURTH & GREEN,URBANA,IL,,40.110261,-88.233542
11/02/2014 05:54:00 PM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>OFFICER TOOK A REPORT IN REFERENCE TO A BATTERY AT WILLARD A IRPORT.  A TAXI CAB DRIVER WAS LATER ARRESTED.,BLK OF AIRPORT RD,URBANA,IL,,40.0394,-88.2659
10/31/2014 12:37:00 AM,[UIPD] UNLAWFUL USE OF WEAPONS,UNLAWFUL USE OF WEAPONS            <BR/><BR/>OFFICER CONDUCTED A TRAFFIC STOP AND ISSUED CITATION FOR SPE EDING AND STATE NTA'S FOR POSSESSION OF CANNABIS NAD UNLAWFU L USE OF WEAPONS,S LINCOLN AV & ILLINOIS ST,URBANA,IL,,40.1091,-88.2193
11/15/2014 11:30:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>TWO MEN WERE ARRESTED FOR BATTERY. BOTH STRUCK ANOTHER MAN W HILE AT THE STADIUM.,FIRST ST S & PEABODY,URBANA,IL,,40.1,-88.2352
05/03/2011 12:11:00 AM,[UIPD] UNLAWFUL USE OF WEAPONS,UNLAWFUL USE OF WEAPONS            <BR/><BR/>OFFICER OBSERVED SUSPICIOUS BEHAVIOR AND INITIATED A TRAFFIC STOP FOR IMPROPER LANE USAGE. A PASSENGER WAS SUBSEQUENTLY ARRESTED ON A CHAMPAIGN COUNTY WARRANT AND AN UNLAWFUL USE O F WEAPONS CHARGE. OFFICER'S LATER LEARNED SUBJECT ALSO HAD A CHAMPAIGN CITY WARRANT AND PAPERWORK WAS SERVED,LINCOLN AVE N & FAIRVIEW,URBANA,IL,,40.120061,-88.219433
12/30/2014 04:22:00 AM,[UIPD] UNLAWFUL USE OF WEAPONS,UNLAWFUL USE OF WEAPONS            <BR/><BR/> INDIVIDUAL WAS ARRESTED FOR UNLAWFUL USE OF WEAPON.,LOCUST S & SPRINGFIELD AVE,URBANA,IL,,40.1126,-88.2401
08/17/2018 07:55:00 PM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED <BR/><BR/>FEMALE WAS SLAPPED BY MALE WHILE ON THE 600 BLOCK OF E GREEN ST IN CHAMPAIGN,600 Block GREEN ST E,URBANA,IL,,40.1102,-88.2295
10/07/2018 06:40:00 PM,[UIPD] ROBBERY,ROBBERY <BR/><BR/> A SUBJECT WAS A VICTIM OF AN ATTEMPTED ROBBERY ON THE QUAD.,1400 Block GREEN ST W,URBANA,IL,,40.1095,-88.2273
08/24/2018 03:01:00 AM,[UIPD] UNLAWFUL USE OF WEAPONS,"UNLAWFUL USE OF WEAPONS <BR/><BR/>DURING A TRAFFIC STOP, A LOADED HANDGUN WAS LOCATED ON A MAL E SITTING IN THE REAR PASSENGER SEAT OF VEHICLE. THE MALE RESISTED OFFICERS AND WAS ARRESTED ON SCENE.",FIFTH ST & UNIVERSITY AVE,URBANA,IL,,40.1163,-88.2336
07/17/2011 12:25:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA ISSUED FOR POSSESSION PROHIBITED ON PUBLIC PROPERTY,FIRST ST & CHALMERS,URBANA,IL,,40.106532,-88.23866
08/15/2011 10:03:00 PM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>OFFICER WAS DISPATCHED TO A MAN DOWN CALL. IT WAS LEARNED TH AT THE SUBJECT WAS PUNCHED BY ANOTHER MALE. THE SUBJECT WAS IDENTIFIED AND ARRESTED.,SIXTH & GREEN,URBANA,IL,,40.110288,-88.230391
08/15/2011 02:08:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA: POSSESSION PROHIBITED ON PUBLIC PROPERTY,SIXTH & DANIEL,URBANA,IL,,40.107969,-88.230345
12/17/2009 12:00:00 PM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>A 16 YR OLD FEMALE BATTERED ANOTHER 16 YR OLD FEMALE WHILE O N A FIELD TRIP TO THE SPURLOCK MUSEUM.,GREGORY S & OREGON,URBANA,IL,,40.108037,-88.221556
08/18/2011 02:19:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>SUBJECT WAS OBSERVED BEING CHASED THEN PICKED UP AND SLAMMED TO THE GROUND. VICTIM WAS TRANSPORTED TO THE HOSPITAL AND A SUSPECT WAS IDENTIFIED BY WITNESSES AND ARRESTED.,OAK S & JOHN ST,URBANA,IL,,40.10888,-88.24155400000001
08/20/2011 12:02:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>ATTEMPTED TO AID SUBJECT WHO WAS BLEEDING AND HIGHLY INTOXIC ATED. SUBJECT RESISTED OFFICERS ON SCENE AND ULTIMATELY ATTE MPTED TO BATTER OFFICERS WITH FISTS AND FEET. SUBJECT WAS TR ANPORTED TO PROVENA AND WILL BE TRANSPORTED TO CCSO AFTER.,BLK OF GREGORY E,URBANA,IL,,40.104046000000004,-88.241495
08/23/2011 10:04:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA--POSSESSION OF ALCOHOL ON PUBLIC PROPERTY,FOURTH & ARMORY,URBANA,IL,,40.102702,-88.241493
08/25/2011 12:33:00 AM,[UIPD] BATTERY,BATTERY                            <BR/><BR/> INDIVIDUAL IDENTIFIED AND ARRESTED FOR AGGRAVATED BATTERY.,GREEN E & 6TH STREET,URBANA,IL,,40.110288,-88.230391
