,incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type,University of Illinois Police Department Patrol Boundary Shapes - i5tx-m5f3
103,104391432,II1200579,03/25/2012 02:09:00 AM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>OFFICERS WITNESSED A FIGHT IN PROGRESS. ON SUSPECT WAS ARRES TED.,,JOHN STREET E & FIFTH STREET,,URBANA,IL,,,40.109066999999996,-88.232019,03/26/2012 05:10:01 PM,03/26/2012 05:10:02 PM,POINT (-88.232019 40.109067),2,Sunday,Assault,206477.0
112,105055169,II1200605,03/27/2012 08:15:00 PM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>SUBJECTS INVOLVED IN A FIGHT ON UNIVERSITY OWNED BASKETBALL COURTS.,,OAK S & GREGORY DR,,URBANA,IL,,,40.101447,-88.23660100000001,03/29/2012 02:50:01 PM,03/29/2012 02:50:02 PM,POINT (-88.236601 40.101447),20,Tuesday,Assault,206477.0
119,105297136,II1200634,03/30/2012 08:40:00 PM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>SUBJECT WAS SLAPPED BY ANOTHER SUBJECT WHILE PLAYING BASKETB ALL.,,PEABODY E & FIRST,,URBANA,IL,,,40.101447,-88.23660100000001,04/02/2012 07:05:02 PM,04/02/2012 07:07:21 PM,POINT (-88.236601 40.101447),20,Friday,Assault,206477.0
147,107664909,II1200760,04/18/2012 10:10:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA ISSUED FOR POSSESSION ON PUBLIC PROPERTY,,CHALMERS ST & FIRST ST,,URBANA,IL,,,40.106522999999996,-88.23961899999999,04/19/2012 05:45:02 PM,04/19/2012 05:45:16 PM,POINT (-88.239619 40.106523),22,Wednesday,Liquor,206477.0
153,109433009,II1200830,04/27/2012 11:41:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA ISSUED FOR POSSESSION ON PUBLIC PROPERTY,,DANIEL ST E & LOCUST ST,,URBANA,IL,,,40.107894,-88.240312,04/29/2012 07:05:01 PM,04/29/2012 07:05:02 PM,POINT (-88.240312 40.107894),23,Friday,Liquor,206477.0
164,110255491,II1200836,04/29/2012 01:55:00 AM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>OFFICERS RESPONDED TO A REPORT OF A DOMESTIC OCCURRING ON TH E STREET. ONE SUBJECT WAS ARRESTED FOR AGRAVATED BATTERY.,,GREGORY E & FIRST,,URBANA,IL,,,40.104094,-88.238636,05/07/2012 03:10:02 PM,05/07/2012 03:10:04 PM,POINT (-88.238636 40.104094),1,Sunday,Assault,206477.0
200,115970916,II1201116,06/15/2012 12:40:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA--POSSESSION ALCOHOL ON PUBLIC PROPERTY,,HEALEY & SIXTH,,URBANA,IL,,,40.1115,-88.230412,06/15/2012 11:55:02 AM,06/15/2012 12:54:41 PM,POINT (-88.230412 40.1115),0,Friday,Liquor,206477.0
213,116855936,II1201150,06/22/2012 08:51:00 PM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>SUBJECT WAS INVOLVED IN A FIGHT AT THE UIUC BASKETBALL COURTS.,,GREGORY DR E & OAK,,URBANA,IL,,,40.104094,-88.238636,06/24/2012 06:10:02 PM,06/24/2012 06:13:16 PM,POINT (-88.238636 40.104094),20,Friday,Assault,206477.0
245,119362078,II1201283,07/17/2012 09:49:00 AM,[UIPD] MENTAL CASE-TRANSPORTATION,MENTAL CASE-TRANSPORTATION         <BR/><BR/>OFFICERS WERE CALLED TO CHECK THE WELFARE OF A PERSON ASKING FOR WATER. THE SUBJECT WAS LATER TRANSPORTED TO CARLE HOSPIT AL ON BEHALF OF ARROW AMBULANCE FOR INVOLUNTARY ADMINSSION D UE TO MENTAL ILLNESS AND PERSONAL SAFETY.,,OAK ST S & KIRBY AV,,URBANA,IL,,,40.098052,-88.241447,07/19/2012 03:05:02 PM,07/19/2012 03:05:03 PM,POINT (-88.241447 40.098052),9,Tuesday,Other,206477.0
337,127839906,II1201747,09/21/2012 10:00:00 PM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>A MALE BATTERED A FEMALE. THIS INCIDENT WAS REPORTED TO POLICE THE NEXT DAY.,,WRIGHT ST S & DANIEL,,URBANA,IL,,,40.107912,-88.228852,09/28/2012 01:30:02 PM,09/28/2012 01:30:03 PM,POINT (-88.228852 40.107912),22,Friday,Assault,206477.0
341,127950858,II1201825,09/29/2012 04:20:00 PM,[UIPD] BATTERY,BATTERY                            <BR/><BR/> A MALE REPORTED BEING BATTERED BY AN UNKNOWN OFFENDER.,,GREEN ST E & FIRST ST,,URBANA,IL,,,40.110217,-88.23869499999999,09/30/2012 08:00:02 PM,09/30/2012 08:00:03 PM,POINT (-88.238695 40.110217),16,Saturday,Assault,206477.0
362,129788102,II1201990,10/21/2012 03:18:00 PM,[UIPD] BATTERY,BATTERY                            <BR/><BR/> A FIGHT OCCURRED DURING A BASKETBALL GAME.,,STADIUM DR & OAK ST,,URBANA,IL,,,40.102702,-88.241493,10/24/2012 07:00:02 PM,10/24/2012 07:00:03 PM,POINT (-88.241493 40.102702),15,Sunday,Assault,206477.0
380,131931231,II1202120,10/24/2012 12:13:00 AM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>VICTIM WAS BITTEN ON THE RIGHT BICEP BY INTOXICATED SUSPECT DURING MEDICAL TRANSPORT TO HOSPITAL VIA PRO AMBULANCE.,,WRIGHT ST S & GREEN ST,,URBANA,IL,,,40.107981,-88.228853,11/07/2012 06:25:02 PM,11/07/2012 06:25:02 PM,POINT (-88.228853 40.107981),0,Wednesday,Assault,206477.0
427,136059792,II1202394,12/17/2012 11:39:00 PM,[UIPD] UNLAWFUL USE OF WEAPONS,UNLAWFUL USE OF WEAPONS            <BR/><BR/>SUBJECT WAS ARRESTED ON A VALID OKLAHOMA WARRANT AND ALSO FO R UNLAWFUL USE OF WEAPONS,,STOUGHTON ST E & SIXTH ST,,URBANA,IL,,,40.113485,-88.23043299999999,12/18/2012 05:44:32 PM,12/18/2012 05:44:33 PM,POINT (-88.230433 40.113485),23,Monday,Weapons Offense,206477.0
458,140105362,II1300073,01/19/2013 02:00:00 AM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>SUBJECT REPORTS BEING BEATEN BY NUMEROUS SUBJECTS AS HE WAS WALKING HOME.,,FOURTH ST S & GREGORY DR,,URBANA,IL,,,40.104127000000005,-88.23343,01/21/2013 03:50:03 PM,01/21/2013 03:50:03 PM,POINT (-88.23343 40.104127),2,Saturday,Assault,206477.0
469,145084155,II1300390,03/01/2013 04:00:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA ISSUED FOR POSSESSION ON PUBLIC PROPERTY,,FIRST ST & GREEN ST,,URBANA,IL,61820.0,,40.110217,-88.2386949,03/03/2013 01:21:52 AM,03/03/2013 01:21:58 AM,POINT (-88.238695 40.110217),16,Friday,Liquor,206477.0
480,141977995,II1300195,02/07/2013 01:26:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>OFFICERS WERE FLAGGED DOWN BY MURPHY'S PUB STAFF REGARDING A BATTERY THAT JUST OCCURRED. VICTIM WAS TRANSPORTED TO CARLE HOSPITAL AND OFFENDER WAS ARRESTED FOR AGGRAVATED BATTERY AND TRANSPORTED TO THE CHAMPAIGN COUNTY JAIL.,,GREEN ST E & SIXTH,,URBANA,IL,,,40.110296000000005,-88.229958,02/08/2013 02:35:03 PM,02/08/2013 02:35:03 PM,POINT (-88.229958 40.110296),1,Thursday,Assault,206477.0
484,142163782,II1300218,02/10/2013 02:15:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>OFFICER WITNESSED SUSPECT WAS BATTERING THE VICTIM. WHEN POL ICE APPROACHD THE SUSPECT RAN.,,SIXTH ST S & SPRINGFIELD AV,,URBANA,IL,,,40.1127,-88.23043100000001,02/10/2013 05:35:02 PM,02/10/2013 05:35:02 PM,POINT (-88.230431 40.1127),2,Sunday,Assault,206477.0
490,142954619,II1300246,02/13/2013 07:23:00 PM,[UIPD] MENTAL CASE-TRANSPORTATION,MENTAL CASE-TRANSPORTATION         <BR/><BR/>A SUBJECT WAS TRANSPORTED TO PROVENA MEDICAL CENTER FOR A ME NTAL EVALUATION.,,BLK OF AIRPORT RD,,URBANA,IL,61802.0,,40.142014399999994,-88.1875752,02/15/2013 01:30:02 PM,02/15/2013 01:30:05 PM,POINT (-88.187575 40.142014),19,Wednesday,Other,
501,143117146,II1300284,02/17/2013 01:47:00 AM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>OFFICER USED A KNEE STRIKE TO THE OBLIQUE AND A BATON STRIKE TO THE COMMON PERONEAL NERVE TO SEPERATE TWO SUBJECTS THAT W ERE ACTIVELY FIGHTING.,,GREEN ST E & THIRD,,URBANA,IL,,,40.110245,-88.235385,02/18/2013 09:10:02 PM,02/18/2013 09:10:03 PM,POINT (-88.235385 40.110245),1,Sunday,Assault,206477.0
517,145084136,II1300380,03/01/2013 09:53:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA ISSUED FOR POSSESSION PROHIBITED ON PUBLIC PROPERTY.,,E CHALMERS ST & LOCUST ST,,URBANA,IL,,,40.10652,-88.24029399999999,03/03/2013 01:21:52 AM,03/03/2013 01:21:53 AM,POINT (-88.240294 40.10652),9,Friday,Liquor,206477.0
518,145084137,II1300403,03/01/2013 10:46:00 PM,[UIPD] CARRYING OUT OF PREMISE,CARRYING OUT OF PREMISE            <BR/><BR/> NTA ISSUED FOR CARRYING LIQUOR OUT OF PREMISES,,S THIRD ST & DANIEL ST,,URBANA,IL,,,40.107938,-88.235364,03/03/2013 01:21:52 AM,03/03/2013 01:21:53 AM,POINT (-88.235364 40.107938),22,Friday,Liquor,206477.0
522,145084142,II1300383,03/01/2013 11:21:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA ISSUED FOR POSSESSION ON PUBLIC PROPERTY,,S THIRD ST & DANIEL ST,,URBANA,IL,,,40.107938,-88.235364,03/03/2013 01:21:52 AM,03/03/2013 01:21:54 AM,POINT (-88.235364 40.107938),11,Friday,Liquor,206477.0
524,145084146,II1300385,03/01/2013 11:35:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA ISSUED FOR POSSESSION ON PUBLIC PROPERTY,,S OAK ST & CHALMERS ST,,URBANA,IL,,,40.10651,-88.241538,03/03/2013 01:21:52 AM,03/03/2013 01:21:56 AM,POINT (-88.241538 40.10651),11,Friday,Liquor,206477.0
525,145084148,II1300386,03/01/2013 12:04:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA ISSUED FOR POSSESSION ON PUBLIC PROPERTY,,S OAK ST & JOHN ST,,URBANA,IL,,,40.124579,-88.26689,03/03/2013 01:21:52 AM,03/03/2013 01:21:56 AM,POINT (-88.26689 40.124579),12,Friday,Liquor,
528,145084154,II1300389,03/01/2013 01:48:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTAS ISSUED FOR POSSESSION ON PUBLIC PROPERTY,,S THIRD ST & JOHN ST,,URBANA,IL,,,40.109035,-88.235373,03/03/2013 01:21:52 AM,03/03/2013 01:21:57 AM,POINT (-88.235373 40.109035),13,Friday,Liquor,206477.0
562,148282872,II1300578,03/26/2013 02:20:00 PM,[UIPD] MENTAL CASE-TRANSPORTATION,MENTAL CASE-TRANSPORTATION         <BR/><BR/>OFFICERS CHECKED WELFARE ON SUBJECT RESULTING IN AN INVOLUNT ARY COMMITTAL.,,STOUGHTON ST W & GOODWIN ST,,URBANA,IL,,,40.113535,-88.223988,03/27/2013 02:05:02 PM,03/27/2013 02:08:33 PM,POINT (-88.223988 40.113535),14,Tuesday,Other,206477.0
634,153305639,II1300820,04/29/2013 09:22:00 PM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>OFFICER WAS CONTACTED IN REGARDS TO AN INCIDENT THAT OCCURED AT THE BASKETBALL COURTS LOCATED AT OAK & STADIUM.,,PEABODY DR E & FIRST ST,,URBANA,IL,,,40.101447,-88.23660100000001,05/08/2013 02:30:02 PM,05/08/2013 02:30:03 PM,POINT (-88.236601 40.101447),21,Monday,Assault,206477.0
663,169398372,II1301047,06/04/2013 09:11:00 PM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>SUBJ WAS BATTERED AT THE INTERSECTION OF ILLINOIS STREET AND LINCOLN AVENUE. ANOTHER SUBJ WAS VICTIM OF AN AGG ASSAULT NEAR GREEN STREET AND BUSEY AVENUE POSSIBLY INVOLVING THE SA ME SUSPECT.WATER BOTTLES WERE THROWN AT SUBJECTS.,,ILLINOIS W & LINCOLN AVE,,URBANA,IL,,,40.133213,-88.24503100000001,06/05/2013 12:44:54 PM,06/28/2013 04:30:27 PM,POINT (-88.245031 40.133213),21,Tuesday,Assault,
668,171104127,II1301064,06/06/2013 12:12:00 PM,[UIPD] UNLAWFUL USE OF WEAPONS,UNLAWFUL USE OF WEAPONS            <BR/><BR/>LEADS CHECK REVEALED REGISTERED OWNER'S DL STATUS SUSPENDED; CONDUCTED A TERRY STOP ON THE SUSPECT VEHICLE AND ARRESTED S AME FOR DWLS; DISCOVERED CONTROLLED SUBSTANCE (ADDERALL) AND LOADED HANDGUN (9MM) DURING INVENTORY OF SUSPECT VEHICLE PR IOR TO IMPOUND.,,FIRST ST S & PEABODY DR,,URBANA,IL,,,40.101436,-88.238607,06/07/2013 07:15:22 PM,06/07/2013 07:15:03 PM,POINT (-88.238607 40.101436),12,Thursday,Weapons Offense,206477.0
695,183467485,II1301159,06/23/2013 03:15:00 AM,[UIPD] UNLAWFUL USE OF WEAPONS,UNLAWFUL USE OF WEAPONS            <BR/><BR/>OFFICER HEARD SHOTS FIRED IN THE IHOP PARKING LOT AND OBSERVED A VEHICLE FLEE THE AREA. OFFICER INITIATED A STOP ON THE VEHICLE AND THE VEHICLE FLED FROM POLICE. THE VEHICLE STOPPED BEHIND A RESIDENCE AND THE OCCUPANTS WERE APPREHENDED. A FIREARM WAS LOCATED IN THE AREA AND TWO     S SUBJECTS WERE SUBSEQUENTLY ARRESTED.,,GREEN ST E & FOURTH,,URBANA,IL,,,40.110246000000004,-88.235235,06/24/2013 06:25:26 PM,06/24/2013 06:35:27 PM,POINT (-88.235235 40.110246),3,Sunday,Weapons Offense,206477.0
696,183467486,II1301150,06/22/2013 01:28:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>SUBJECTS WERE OBSERVED KICKING AND PUNCHING A MALE ON THE GR OUND. FIVE SUBJECTS FLED FROM OFFICERS. ONE WAS ISSUED A CHA MPAIGN CITY NTA.,,FIRST ST S & GREEN ST,,URBANA,IL,,,40.110217,-88.23869499999999,06/24/2013 06:25:26 PM,06/24/2013 06:35:28 PM,POINT (-88.238695 40.110217),1,Saturday,Assault,206477.0
705,187991932,II1301188,06/28/2013 09:17:00 PM,[UIPD] UNLAWFUL USE OF WEAPONS,UNLAWFUL USE OF WEAPONS            <BR/><BR/>OFFICER OBSERVED A VEHICLE TRAVELING EAST BOUND ON UNIVERSIT Y AND CHESTNUT (LOUD MUFFLER). OFFICER INITIATED A TRAFFIC S TOP AND THE DRIVER WAS SUBSEQUENTLY ARRESTED FOR POSSESSION OF CANNABIS < 2.5 AND AGGRAVATED UNLAWFUL USE OF A FIREARM.,,UNIVERSITY AV W & HARVEY ST,,URBANA,IL,,,40.116407,-88.222379,06/30/2013 07:55:27 PM,06/30/2013 07:55:02 PM,POINT (-88.222379 40.116407),21,Friday,Weapons Offense,206477.0
730,198685659,II1301271,07/14/2013 12:34:00 AM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>OFFICER OBSERVED SUBJECT FIGHTING WITH EMPLOYEES. SUBJECT WA S ARRESTED FOR BATTERY.,,GREEN ST E & THIRD,,URBANA,IL,,,40.1102,-88.2369,07/15/2013 06:35:31 PM,07/15/2013 06:34:53 PM,POINT (-88.2369 40.1102),0,Sunday,Assault,206477.0
731,198685661,II1301266,07/13/2013 02:37:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>TWO SUBJECTS WERE SEEN BATTERING A VICTIM. SUBJECTS WERE ARRESTED FOR AGGRAVATED BATTERY AND MOB ACTION. THEY WERE EACH ISSUED A NOTICE OF TRESPASS LETTER.,,FOURTH ST S & DANIEL ST,,URBANA,IL,,,40.1079,-88.2335,07/15/2013 06:35:31 PM,07/15/2013 06:34:54 PM,POINT (-88.2335 40.1079),2,Saturday,Assault,206477.0
736,203240342,II1301292,07/20/2013 12:41:00 AM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>OFFICER RESPONDED TO 507 W. UNIVERSITY AVE (SUPER PANTRY) IN REFERENCE TO A FIGHT BETWEEN A TAXI DRIVER AND A PASSENGER.,,UNIVERSITY AV W & ORCHARD ST,,URBANA,IL,,,40.1165,-88.213,07/22/2013 06:55:32 PM,07/23/2013 04:43:21 PM,POINT (-88.213 40.1165),0,Saturday,Assault,206477.0
750,212453505,II1301365,08/03/2013 12:00:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>RED LION SECURITY ATTEMPTED TO REMOVE A SUBJECT AFTER SUBJEC T WAS SEEN FIGHTING IN BAR. SUBJECT RESISTED AND PUNCHED ONE OF HTE SECURITY STAFF. SECURITY STAFF PEPPER SPRAYED THE SU BJECT. SUBJECT WAS ARRESTED.,,GREEN ST E & THIRD,,URBANA,IL,,,40.1102,-88.2369,08/03/2013 05:05:35 PM,08/03/2013 05:05:13 PM,POINT (-88.2369 40.1102),0,Saturday,Assault,206477.0
782,234310824,II1301563,09/02/2013 12:45:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>OFFICERS RESPONDED TO A FIGHT IN PROGRESS. ONE SUBJECT WAS A RRESTED FOR RESISTING AND AGGRAVATED BATTERY OF A POLICE OFF ICER.,,THIRD S & SPRINGFIELD,,URBANA,IL,61820.0,,40.1126549,-88.2354,09/02/2013 03:30:45 PM,09/03/2013 12:01:41 AM,POINT (-88.2354 40.112655),0,Monday,Assault,206477.0
803,250930446,II1301766,09/21/2013 02:35:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>SUSPECT APPREHENDED FOR ATTEMPTING TO STEAL A BICYCLE. OFFIC ER INJURED DURING ARREST.,,DANIEL ST E & WRIGHT,,URBANA,IL,61820.0,,40.1079809,-88.228853,09/23/2013 05:35:52 PM,09/23/2013 05:35:52 PM,POINT (-88.228853 40.107981),2,Saturday,Assault,206477.0
818,261696717,II1301907,10/05/2013 07:00:00 PM,[UIPD] BATTERY,BATTERY                            <BR/><BR/> MALE SUBJECT BATTERED FEMALE VICTIM.,,SIXTH ST S & ARMORY,,URBANA,IL,61820.0,,40.105419399999995,-88.2302935,10/07/2013 02:50:57 PM,10/07/2013 02:50:57 PM,POINT (-88.230293 40.105419),19,Saturday,Assault,206477.0
825,269218976,II1302001,10/16/2013 01:57:00 AM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>OFFICER WITNESSED SUSPECT COMMIT A BATATERY IN A PUBLIC PLAC E.,,SIXTH ST S & GREEN,,URBANA,IL,61820.0,,40.110288,-88.230391,10/16/2013 03:56:00 PM,10/16/2013 03:56:00 PM,POINT (-88.230391 40.110288),1,Wednesday,Assault,206477.0
880,343200871,II1400059,01/17/2014 11:30:00 AM,[UIPD] MENTAL CASE-TRANSPORTATION,MENTAL CASE-TRANSPORTATION         <BR/><BR/>A SUBJECT APPARENTLY SUFFERING FROM A MENTAL ILLNESS WAS TRA SPORTED TO PCMC FOR EVALUATION,,MARYLAND AVE S & PENNSYLVANIA AVE,,URBANA,IL,61801.0,,40.1006,-88.22284590000001,01/20/2014 04:11:32 PM,01/20/2014 04:11:32 PM,POINT (-88.222846 40.1006),11,Friday,Other,206477.0
885,348413351,II1400111,01/26/2014 02:43:00 AM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED                 <BR/><BR/>OFFICER WAS FLAGGED DOWN BY AN INTOXICATED SUBJECT. SUBJECT EVENTUALLY BATTERED OFFICER AND WAS ARRESTED FOR AGGRAVATED BATTERY.,,SPRINGFIELD E & FOURTH ST,,URBANA,IL,61820.0,,40.112676,-88.233592,01/26/2014 02:31:33 PM,01/26/2014 02:31:33 PM,POINT (-88.233592 40.112676),2,Sunday,Assault,206477.0
911,371420645,II1400343,02/24/2014 01:05:00 PM,[UIPD] MENTAL CASE-TRANSPORTATION,MENTAL CASE-TRANSPORTATION         <BR/><BR/>UIPD WAS DISPATCHED TO BOUSFIELD HALL ON A WELFARE CALL,,FIRST ST S & PEABODY DR,,URBANA,IL,61820.0,,40.1014439,-88.23860440000001,02/25/2014 06:56:42 PM,02/25/2014 06:56:42 PM,POINT (-88.238604 40.101444),13,Monday,Other,206477.0
923,381666522,II1400426,03/07/2014 10:04:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/>NTA ISSUED FOR CARRYING OPEN ALCOHOL NTA ISSUED FOR POSSESSION PROHIBITED ON PUBLIC PROPERTY,,BLK OF JOHN ST E,,URBANA,IL,61820.0,,40.109035,-88.235373,03/09/2014 01:56:45 PM,03/09/2014 01:56:45 PM,POINT (-88.235373 40.109035),10,Friday,Liquor,206477.0
924,381666523,II1400427,03/07/2014 11:20:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/>SUBJ ISSUED CITY NTA FOR POSSESSION PROHIBITED ON PUBLIC PRO PERTY,,SECOND & DANIEL,,URBANA,IL,61820.0,,40.107923,-88.23702,03/09/2014 01:56:45 PM,03/09/2014 01:56:45 PM,POINT (-88.23702 40.107923),11,Friday,Liquor,206477.0
925,381666524,II1400430,03/07/2014 01:56:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/>SUBJ ISSUED CITY NTA FOR POSSESSION PROHIBITED ON PUBLIC PRO PERTY,,FOURTH & GREEN,,URBANA,IL,61820.0,,40.1102662,-88.2335352,03/09/2014 01:56:45 PM,03/09/2014 01:56:45 PM,POINT (-88.233535 40.110266),13,Friday,Liquor,206477.0
